last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Realmuto, J.T.,2018,.278,.478,.354,.343,.198,88.9,14.4,9.0,
Rosario, Eddie,2018,.247,.428,.303,.285,.178,87.3,17.4,8.3,
Simmons, Andrelton,2018,.288,.403,.324,.336,.112,87.8,7.7,4.1,
Yelich, Christian,2018,.327,.572,.418,.406,.241,92.3,4.7,12.9,
Merrifield, Whit,2018,.280,.426,.341,.349,.144,86.5,16.6,4.6,
Bogaerts, Xander,2018,.283,.498,.367,.358,.212,90.5,12.7,9.8,
Calhoun, Kole,2018,.251,.451,.333,.323,.198,90.4,12.0,9.3,
Profar, Jurickson,2018,.257,.397,.325,.339,.137,87.3,12.3,5.0,
Baez, Javier,2018,.279,.509,.349,.317,.227,89.6,9.2,12.6,
Lindor, Francisco,2018,.292,.515,.375,.365,.221,90.2,14.5,9.5,
Odor, Rougned,2018,.247,.410,.319,.322,.160,87.8,11.7,7.1,
Story, Trevor,2018,.263,.508,.353,.323,.242,90.8,15.7,12.7,
Kepler, Max,2018,.234,.404,.322,.329,.168,89.5,16.2,6.6,
Bradley Jr., Jackie,2018,.265,.463,.346,.341,.197,91.9,12.0,10.3,
Candelario, Jeimer,2018,.203,.345,.289,.299,.139,87.1,15.3,6.0,
Ahmed, Nick,2018,.239,.371,.290,.294,.128,86.5,11.3,5.1,
Anderson, Brian,2018,.261,.409,.334,.347,.145,90.2,8.7,5.8,
Bell, Josh,2018,.260,.420,.340,.356,.156,90.0,9.2,7.0,
Betts, Mookie,2018,.314,.610,.433,.414,.295,92.2,18.3,14.1,
Smith, Mallex,2018,.270,.352,.311,.343,.077,84.0,2.6,1.5,
Hernandez, Teoscar,2018,.235,.498,.340,.300,.260,91.8,17.0,15.5,
Peraza, Jose,2018,.284,.387,.309,.323,.099,83.9,13.4,2.5,
Marte, Ketel,2018,.261,.396,.320,.333,.132,88.5,5.7,5.0,
Nimmo, Brandon,2018,.241,.398,.352,.386,.152,89.5,10.5,6.5,
Turner, Trea,2018,.282,.421,.337,.354,.135,87.8,8.3,5.8,
Pillar, Kevin,2018,.280,.432,.320,.310,.150,87.1,16.5,5.7,
Ramirez, Jose,2018,.266,.474,.366,.384,.206,88.9,18.8,8.5,
Bregman, Alex,2018,.271,.468,.371,.382,.195,89.2,16.9,7.6,
Gallo, Joey,2018,.232,.539,.369,.334,.306,93.9,21.6,22.5,
Mazara, Nomar,2018,.269,.452,.339,.329,.180,90.5,5.3,8.5,
Andujar, Miguel,2018,.281,.444,.326,.314,.161,89.2,12.3,6.3,
Swanson, Dansby,2018,.229,.359,.278,.296,.127,86.8,12.9,4.1,
Taylor, Chris,2018,.247,.417,.327,.328,.168,88.6,16.4,8.6,
Wendle, Joey,2018,.263,.372,.306,.325,.107,88.4,10.3,2.7,
Olson, Matt,2018,.250,.492,.355,.338,.240,93.1,17.8,12.2,
Duffy, Matt,2018,.277,.358,.314,.346,.077,86.6,4.6,1.2,
Margot, Manuel,2018,.255,.371,.294,.305,.113,88.7,11.4,3.3,
Camargo, Johan,2018,.240,.379,.310,.324,.136,88.0,12.5,5.0,
Conforto, Michael,2018,.243,.429,.339,.350,.183,87.9,11.9,9.5,
Anderson, Tim,2018,.227,.361,.274,.270,.131,85.6,10.5,4.7,
Bellinger, Cody,2018,.242,.433,.328,.329,.189,89.7,16.1,8.6,
Mancini, Trey,2018,.257,.443,.332,.317,.182,89.9,5.4,11.8,
Rosario, Amed,2018,.260,.370,.291,.300,.106,87.3,7.2,3.9,
Benintendi, Andrew,2018,.286,.457,.357,.363,.168,88.4,12.6,6.4,
Albies, Ozzie,2018,.251,.403,.303,.296,.149,86.3,15.5,4.7,
Chapman, Matt,2018,.260,.433,.339,.340,.171,93.0,14.7,8.9,
Hoskins, Rhys,2018,.235,.463,.352,.348,.225,88.9,22.4,11.4,
Schwarber, Kyle,2018,.247,.473,.350,.363,.224,90.0,11.5,12.7,
Moncada, Yoan,2018,.219,.389,.302,.301,.168,90.6,15.1,9.6,
