bawin,category,movie_title,nominee,year_film
False,picture,ice cold in alex,ice cold in alex,1958
False,picture,indiscreet,indiscreet,1958
False,picture,the cranes are flying,the cranes are flying,1958
False,picture,no down payment,no down payment,1958
False,picture,nights of cabiria,nights of cabiria,1958
False,picture,orders to kill,orders to kill,1958
False,picture,sea of sand,sea of sand,1958
False,picture,the sheepman,the sheepman,1958
False,picture,wild strawberries,wild strawberries,1958
False,picture,the young lions,the young lions,1958
True,picture,ben-hur,ben-hur,1959
False,picture,anatomy of a murder,anatomy of a murder,1959
False,picture,the face,the face,1959
False,picture,the big country,the big country,1959
False,picture,compulsion,compulsion,1959
False,picture,gigi,gigi,1959
False,picture,look back in anger,look back in anger,1959
False,picture,maigret sets a trap,maigret sets a trap,1959
False,picture,north west frontier,north west frontier,1959
False,picture,the nun's story,the nun's story,1959
False,picture,ashes and diamonds,ashes and diamonds,1959
False,picture,sapphire,sapphire,1959
False,picture,some like it hot,some like it hot,1959
False,picture,tiger bay,tiger bay,1959
False,picture,yesterday's enemy,yesterday's enemy,1959
True,picture,the apartment,the apartment,1960
False,picture,the 400 blows,the 400 blows,1960
False,picture,the angry silence,the angry silence,1960
False,picture,the adventure,the adventure,1960
False,picture,la dolce vita,la dolce vita,1960
False,picture,elmer gantry,elmer gantry,1960
False,picture,hiroshima mon amour,hiroshima mon amour,1960
False,picture,inherit the wind,inherit the wind,1960
False,picture,let's make love,let's make love,1960
False,picture,black orpheus,black orpheus,1960
False,picture,never on sunday,never on sunday,1960
False,picture,saturday night and sunday morning,saturday night and sunday morning,1960
False,picture,shadows,shadows,1960
False,picture,spartacus,spartacus,1960
False,picture,the testament of orpheus,the testament of orpheus,1960
False,picture,the trials of oscar wilde,the trials of oscar wilde,1960
False,picture,tunes of glory,tunes of glory,1960
True,picture,ballad of a soldier,ballad of a soldier,1961
False,picture,the hustler,the hustler,1961
False,picture,the world of apu,the world of apu,1961
False,picture,the innocents,the innocents,1961
False,picture,judgment at nuremberg,judgment at nuremberg,1961
False,picture,the long and the short and the tall,the long and the short and the tall,1961
False,picture,rocco and his brothers,rocco and his brothers,1961
False,picture,the sundowners,the sundowners,1961
False,picture,a taste of honey,a taste of honey,1961
False,picture,the hole,the hole,1961
False,picture,whistle down the wind,whistle down the wind,1961
True,picture,lawrence of arabia,lawrence of arabia,1962
False,picture,last year at marienbad,last year at marienbad,1962
False,picture,billy budd,billy budd,1962
False,picture,the elusive corporal,the elusive corporal,1962
False,picture,the lady with the dog,the lady with the dog,1962
False,picture,the naked island,the naked island,1962
False,picture,jules and jim,jules and jim,1962
False,picture,a kind of loving,a kind of loving,1962
False,picture,the l-shaped room,the l-shaped room,1962
False,picture,lola,lola,1962
False,picture,the manchurian candidate,the manchurian candidate,1962
False,picture,the miracle worker,the miracle worker,1962
False,picture,only two can play,only two can play,1962
False,picture,phaedra,phaedra,1962
False,picture,through a glass darkly,through a glass darkly,1962
False,picture,thou shalt not kill,thou shalt not kill,1962
False,picture,the long absence,the long absence,1962
False,picture,west side story,west side story,1962
True,picture,tom jones,tom jones,1963
False,picture,8½,8½,1963
False,picture,billy liar,billy liar,1963
False,picture,david and lisa,david and lisa,1963
False,picture,days of wine and roses,days of wine and roses,1963
False,picture,"divorce, italian style","divorce, italian style",1963
False,picture,hud,hud,1963
False,picture,knife in the water,knife in the water,1963
False,picture,the four days of naples,the four days of naples,1963
False,picture,the servant,the servant,1963
False,picture,this sporting life,this sporting life,1963
False,picture,to kill a mockingbird,to kill a mockingbird,1963
True,picture,dr. strangelove,dr. strangelove,1964
False,picture,becket,becket,1964
False,picture,the pumpkin eater,the pumpkin eater,1964
False,picture,the train,the train,1964
True,picture,my fair lady,my fair lady,1965
False,picture,hamlet,hamlet,1965
False,picture,the hill,the hill,1965
False,picture,the knack ...and how to get it,the knack ...and how to get it,1965
False,picture,zorba the greek,zorba the greek,1965
True,picture,who's afraid of virginia woolf?,who's afraid of virginia woolf?,1966
False,picture,doctor zhivago,doctor zhivago,1966
False,picture,morgan – a suitable case for treatment,morgan – a suitable case for treatment,1966
False,picture,the spy who came in from the cold,the spy who came in from the cold,1966
True,picture,a man for all seasons,a man for all seasons,1967
False,picture,bonnie and clyde,bonnie and clyde,1967
False,picture,in the heat of the night,in the heat of the night,1967
False,picture,a man and a woman,a man and a woman,1967
True,picture,the graduate,the graduate,1968
False,picture,2001: a space odyssey,2001: a space odyssey,1968
False,picture,oliver!,oliver!,1968
False,picture,closely observed trains,closely observed trains,1968
True,picture,midnight cowboy,midnight cowboy,1969
False,picture,oh! what a lovely war,oh! what a lovely war,1969
False,picture,women in love,women in love,1969
False,picture,z,z,1969
True,picture,butch cassidy and the sundance kid,butch cassidy and the sundance kid,1970
False,picture,kes,kes,1970
False,picture,m*a*s*h,m*a*s*h,1970
False,picture,ryan's daughter,ryan's daughter,1970
True,picture,sunday bloody sunday,sunday bloody sunday,1971
False,picture,the go-between,the go-between,1971
False,picture,death in venice,death in venice,1971
False,picture,taking off,taking off,1971
True,picture,cabaret,cabaret,1972
False,picture,a clockwork orange,a clockwork orange,1972
False,picture,the french connection,the french connection,1972
False,picture,the last picture show,the last picture show,1972
True,picture,day for night,day for night,1973
False,picture,the day of the jackal,the day of the jackal,1973
False,picture,the discreet charm of the bourgeoisie,the discreet charm of the bourgeoisie,1973
False,picture,don't look now,don't look now,1973
True,picture,lacombe lucien,lacombe lucien,1974
False,picture,chinatown,chinatown,1974
False,picture,the last detail,the last detail,1974
False,picture,murder on the orient express,murder on the orient express,1974
True,picture,alice doesn't live here anymore,alice doesn't live here anymore,1975
False,picture,barry lyndon,barry lyndon,1975
False,picture,dog day afternoon,dog day afternoon,1975
False,picture,jaws,jaws,1975
True,picture,one flew over the cuckoo's nest,one flew over the cuckoo's nest,1976
False,picture,all the president's men,all the president's men,1976
False,picture,bugsy malone,bugsy malone,1976
False,picture,taxi driver,taxi driver,1976
True,picture,annie hall,annie hall,1977
False,picture,a bridge too far,a bridge too far,1977
False,picture,network,network,1977
False,picture,rocky,rocky,1977
True,picture,julia,julia,1978
False,picture,close encounters of the third kind,close encounters of the third kind,1978
False,picture,midnight express,midnight express,1978
False,picture,star wars,star wars,1978
True,picture,manhattan,manhattan,1979
False,picture,apocalypse now,apocalypse now,1979
False,picture,the china syndrome,the china syndrome,1979
False,picture,the deer hunter,the deer hunter,1979
True,picture,the elephant man,the elephant man,1980
False,picture,being there,being there,1980
False,picture,kagemusha,kagemusha,1980
False,picture,kramer vs. kramer,kramer vs. kramer,1980
True,picture,chariots of fire,chariots of fire,1981
False,picture,atlantic city,atlantic city,1981
False,picture,the french lieutenant's woman,the french lieutenant's woman,1981
False,picture,gregory's girl,gregory's girl,1981
False,picture,raiders of the lost ark,raiders of the lost ark,1981
True,picture,gandhi,gandhi,1982
False,picture,e.t. the extra-terrestrial,e.t. the extra-terrestrial,1982
False,picture,missing,missing,1982
False,picture,on golden pond,on golden pond,1982
True,picture,educating rita,educating rita,1983
False,picture,heat and dust,heat and dust,1983
False,picture,local hero,local hero,1983
False,picture,tootsie,tootsie,1983
True,picture,the killing fields,the killing fields,1984
False,picture,the dresser,the dresser,1984
False,picture,"paris, texas","paris, texas",1984
False,picture,a private function,a private function,1984
True,picture,the purple rose of cairo,the purple rose of cairo,1985
False,picture,amadeus,amadeus,1985
False,picture,back to the future,back to the future,1985
False,picture,a passage to india,a passage to india,1985
False,picture,witness,witness,1985
True,picture,a room with a view,a room with a view,1986
False,picture,hannah and her sisters,hannah and her sisters,1986
False,picture,the mission,the mission,1986
False,picture,mona lisa,mona lisa,1986
True,picture,jean de florette,jean de florette,1987
False,picture,cry freedom,cry freedom,1987
False,picture,hope and glory,hope and glory,1987
False,picture,radio days,radio days,1987
True,picture,the last emperor,the last emperor,1988
False,picture,au revoir les enfants,au revoir les enfants,1988
False,picture,babette's feast,babette's feast,1988
False,picture,a fish called wanda,a fish called wanda,1988
True,picture,dead poets society,dead poets society,1989
False,picture,my left foot,my left foot,1989
False,picture,shirley valentine,shirley valentine,1989
False,picture,when harry met sally...,when harry met sally...,1989
True,picture,goodfellas,goodfellas,1990
False,picture,crimes and misdemeanors,crimes and misdemeanors,1990
False,picture,driving miss daisy,driving miss daisy,1990
False,picture,pretty woman,pretty woman,1990
True,picture,the commitments,the commitments,1991
False,picture,dances with wolves,dances with wolves,1991
False,picture,the silence of the lambs,the silence of the lambs,1991
False,picture,thelma & louise,thelma & louise,1991
True,picture,howards end,howards end,1992
False,picture,the crying game,the crying game,1992
False,picture,the player,the player,1992
False,picture,strictly ballroom,strictly ballroom,1992
False,picture,unforgiven,unforgiven,1992
True,picture,schindler's list,schindler's list,1993
False,picture,the piano,the piano,1993
False,picture,the remains of the day,the remains of the day,1993
False,picture,shadowlands,shadowlands,1993
True,picture,four weddings and a funeral,four weddings and a funeral,1994
False,picture,forrest gump,forrest gump,1994
False,picture,pulp fiction,pulp fiction,1994
False,picture,quiz show,quiz show,1994
True,picture,sense and sensibility,sense and sensibility,1995
False,picture,babe,babe,1995
False,picture,the madness of king george,the madness of king george,1995
False,picture,the usual suspects,the usual suspects,1995
True,picture,the english patient,the english patient,1996
False,picture,fargo,fargo,1996
False,picture,secrets & lies,secrets & lies,1996
False,picture,shine,shine,1996
True,picture,the full monty,the full monty,1997
False,picture,l.a. confidential,l.a. confidential,1997
False,picture,mrs brown,mrs brown,1997
False,picture,titanic,titanic,1997
True,picture,shakespeare in love,shakespeare in love,1998
False,picture,elizabeth,elizabeth,1998
False,picture,saving private ryan,saving private ryan,1998
False,picture,the truman show,the truman show,1998
True,picture,american beauty,american beauty,1999
False,picture,east is east,east is east,1999
False,picture,the end of the affair,the end of the affair,1999
False,picture,the sixth sense,the sixth sense,1999
False,picture,the talented mr. ripley,the talented mr. ripley,1999
True,picture,gladiator,gladiator,2000
False,picture,almost famous,almost famous,2000
False,picture,billy elliot,billy elliot,2000
False,picture,"crouching tiger, hidden dragon","crouching tiger, hidden dragon",2000
False,picture,erin brockovich,erin brockovich,2000
True,picture,the lord of the rings: the fellowship of the ring,the lord of the rings: the fellowship of the ring,2001
False,picture,amélie,amélie,2001
False,picture,a beautiful mind,a beautiful mind,2001
False,picture,moulin rouge!,moulin rouge!,2001
False,picture,shrek,shrek,2001
True,picture,the pianist,the pianist,2002
False,picture,chicago,chicago,2002
False,picture,gangs of new york,gangs of new york,2002
False,picture,the hours,the hours,2002
False,picture,the lord of the rings: the two towers,the lord of the rings: the two towers,2002
True,picture,the lord of the rings: the return of the king,the lord of the rings: the return of the king,2003
False,picture,big fish,big fish,2003
False,picture,cold mountain,cold mountain,2003
False,picture,lost in translation,lost in translation,2003
False,picture,master and commander: the far side of the world,master and commander: the far side of the world,2003
True,picture,the aviator,the aviator,2004
False,picture,eternal sunshine of the spotless mind,eternal sunshine of the spotless mind,2004
False,picture,finding neverland,finding neverland,2004
False,picture,the motorcycle diaries,the motorcycle diaries,2004
False,picture,vera drake,vera drake,2004
True,picture,brokeback mountain,brokeback mountain,2005
False,picture,capote,capote,2005
False,picture,the constant gardener,the constant gardener,2005
False,picture,crash,crash,2005
False,picture,"good night, and good luck","good night, and good luck",2005
True,picture,the queen,the queen,2006
False,picture,babel,babel,2006
False,picture,the departed,the departed,2006
False,picture,the last king of scotland,the last king of scotland,2006
False,picture,little miss sunshine,little miss sunshine,2006
True,picture,atonement,atonement,2007
False,picture,american gangster,american gangster,2007
False,picture,the lives of others,the lives of others,2007
False,picture,no country for old men,no country for old men,2007
False,picture,there will be blood,there will be blood,2007
True,picture,slumdog millionaire,slumdog millionaire,2008
False,picture,the curious case of benjamin button,the curious case of benjamin button,2008
False,picture,frost/nixon,frost/nixon,2008
False,picture,milk,milk,2008
False,picture,the reader,the reader,2008
True,picture,the hurt locker,the hurt locker,2009
False,picture,avatar,avatar,2009
False,picture,an education,an education,2009
False,picture,precious,precious,2009
False,picture,up in the air,up in the air,2009
True,picture,the king's speech,the king's speech,2010
False,picture,black swan,black swan,2010
False,picture,inception,inception,2010
False,picture,the social network,the social network,2010
False,picture,true grit,true grit,2010
True,picture,the artist,the artist,2011
False,picture,the descendants,the descendants,2011
False,picture,drive,drive,2011
False,picture,the help,the help,2011
False,picture,tinker tailor soldier spy,tinker tailor soldier spy,2011
True,picture,argo,argo,2012
False,picture,les misérables,les misérables,2012
False,picture,life of pi,life of pi,2012
False,picture,lincoln,lincoln,2012
False,picture,zero dark thirty,zero dark thirty,2012
True,picture,12 years a slave,12 years a slave,2013
False,picture,american hustle,american hustle,2013
False,picture,captain phillips,captain phillips,2013
False,picture,gravity,gravity,2013
False,picture,philomena,philomena,2013
True,picture,boyhood,boyhood,2014
False,picture,birdman or (the unexpected virtue of ignorance),birdman or (the unexpected virtue of ignorance),2014
False,picture,the grand budapest hotel,the grand budapest hotel,2014
False,picture,the imitation game,the imitation game,2014
False,picture,the theory of everything,the theory of everything,2014
True,picture,the revenant,the revenant,2015
False,picture,the big short,the big short,2015
False,picture,bridge of spies,bridge of spies,2015
False,picture,carol,carol,2015
False,picture,spotlight,spotlight,2015
True,picture,la la land,la la land,2016
False,picture,arrival,arrival,2016
False,picture,"i, daniel blake","i, daniel blake",2016
False,picture,manchester by the sea,manchester by the sea,2016
False,picture,moonlight,moonlight,2016
True,picture,"three billboards outside ebbing, missouri","three billboards outside ebbing, missouri",2017
False,picture,call me by your name,call me by your name,2017
False,picture,darkest hour,darkest hour,2017
False,picture,dunkirk,dunkirk,2017
False,picture,the shape of water,the shape of water,2017
True,picture,roma,roma,2018
False,picture,blackkklansman,blackkklansman,2018
False,picture,the favourite,the favourite,2018
False,picture,green book,green book,2018
False,picture,a star is born,a star is born,2018
True,picture,1917,1917,2019
False,picture,the irishman,the irishman,2019
False,picture,joker,joker,2019
False,picture,once upon a time in hollywood,once upon a time in hollywood,2019
False,picture,parasite,parasite,2019
True,director,the graduate,the graduate,1968
False,director,if....,if....,1968
False,director,oliver!,oliver!,1968
False,director,romeo and juliet,romeo and juliet,1968
True,director,midnight cowboy,midnight cowboy,1969
False,director,oh! what a lovely war,oh! what a lovely war,1969
False,director,women in love,women in love,1969
False,director,bullitt,bullitt,1969
True,director,butch cassidy and the sundance kid,butch cassidy and the sundance kid,1970
False,director,m*a*s*h,m*a*s*h,1970
False,director,ryan's daughter,ryan's daughter,1970
False,director,kes,kes,1970
True,director,sunday bloody sunday,sunday bloody sunday,1971
False,director,taking off,taking off,1971
False,director,the go-between,the go-between,1971
False,director,death in venice,death in venice,1971
True,director,cabaret,cabaret,1972
False,director,the last picture show,the last picture show,1972
False,director,the french connection,the french connection,1972
False,director,a clockwork orange,a clockwork orange,1972
True,director,day for night,day for night,1973
False,director,the discreet charm of the bourgeoisie,the discreet charm of the bourgeoisie,1973
False,director,don't look now,don't look now,1973
False,director,the day of the jackal,the day of the jackal,1973
True,director,chinatown,chinatown,1974
False,director,the conversation,the conversation,1974
False,director,murder on the orient express,murder on the orient express,1974
False,director,lacombe lucien,lacombe lucien,1974
True,director,barry lyndon,barry lyndon,1975
False,director,dog day afternoon,dog day afternoon,1975
False,director,alice doesn't live here anymore,alice doesn't live here anymore,1975
False,director,jaws,jaws,1975
True,director,one flew over the cuckoo's nest,one flew over the cuckoo's nest,1976
False,director,all the president's men,all the president's men,1976
False,director,bugsy malone,bugsy malone,1976
False,director,taxi driver,taxi driver,1976
True,director,annie hall,annie hall,1977
False,director,a bridge too far,a bridge too far,1977
False,director,rocky,rocky,1977
False,director,network,network,1977
True,director,midnight express,midnight express,1978
False,director,a wedding,a wedding,1978
False,director,close encounters of the third kind,close encounters of the third kind,1978
False,director,julia,julia,1978
True,director,apocalypse now,apocalypse now,1979
False,director,manhattan,manhattan,1979
False,director,the deer hunter,the deer hunter,1979
False,director,yanks,yanks,1979
True,director,kagemusha,kagemusha,1980
False,director,kramer vs. kramer,kramer vs. kramer,1980
False,director,the elephant man,the elephant man,1980
False,director,fame,fame,1980
True,director,atlantic city,atlantic city,1981
False,director,gregory's girl,gregory's girl,1981
False,director,chariots of fire,chariots of fire,1981
False,director,the french lieutenant's woman,the french lieutenant's woman,1981
True,director,gandhi,gandhi,1982
False,director,missing,missing,1982
False,director,on golden pond,on golden pond,1982
False,director,e.t. the extra-terrestrial,e.t. the extra-terrestrial,1982
True,director,local hero,local hero,1983
False,director,heat and dust,heat and dust,1983
False,director,tootsie,tootsie,1983
False,director,the king of comedy,the king of comedy,1983
True,director,"paris, texas","paris, texas",1984
False,director,the killing fields,the killing fields,1984
False,director,once upon a time in america,once upon a time in america,1984
False,director,the dresser,the dresser,1984
False,director,[1],[1],1984
True,director,hannah and her sisters,hannah and her sisters,1986
False,director,the mission,the mission,1986
False,director,mona lisa,mona lisa,1986
False,director,a room with a view,a room with a view,1986
True,director,platoon,platoon,1987
False,director,cry freedom,cry freedom,1987
False,director,jean de florette,jean de florette,1987
False,director,hope and glory,hope and glory,1987
True,director,au revoir les enfants,au revoir les enfants,1988
False,director,babette's feast,babette's feast,1988
False,director,the last emperor,the last emperor,1988
False,director,a fish called wanda,a fish called wanda,1988
True,director,henry v,henry v,1989
False,director,dangerous liaisons,dangerous liaisons,1989
False,director,mississippi burning,mississippi burning,1989
False,director,dead poets society,dead poets society,1989
True,director,goodfellas,goodfellas,1990
False,director,crimes and misdemeanors,crimes and misdemeanors,1990
False,director,driving miss daisy,driving miss daisy,1990
False,director,cinema paradiso (nuovo cinema paradiso),cinema paradiso (nuovo cinema paradiso),1990
True,director,the commitments,the commitments,1991
False,director,dances with wolves,dances with wolves,1991
False,director,the silence of the lambs,the silence of the lambs,1991
False,director,thelma & louise,thelma & louise,1991
True,director,the player,the player,1992
False,director,unforgiven,unforgiven,1992
False,director,howards end,howards end,1992
False,director,the crying game,the crying game,1992
True,director,schindler's list,schindler's list,1993
False,director,shadowlands,shadowlands,1993
False,director,the piano,the piano,1993
False,director,the remains of the day,the remains of the day,1993
True,director,four weddings and a funeral,four weddings and a funeral,1994
False,director,three colours: red (trois couleurs : rouge),three colours: red (trois couleurs : rouge),1994
False,director,pulp fiction,pulp fiction,1994
False,director,forrest gump,forrest gump,1994
True,director,il postino: the postman,il postino: the postman,1995
False,director,braveheart,braveheart,1995
False,director,the madness of king george,the madness of king george,1995
False,director,sense and sensibility,sense and sensibility,1995
True,director,fargo,fargo,1996
False,director,shine,shine,1996
False,director,secrets & lies,secrets & lies,1996
False,director,the english patient,the english patient,1996
True,director,romeo + juliet,romeo + juliet,1997
False,director,titanic,titanic,1997
False,director,the full monty,the full monty,1997
False,director,l.a. confidential,l.a. confidential,1997
True,director,the truman show,the truman show,1998
False,director,elizabeth,elizabeth,1998
False,director,shakespeare in love,shakespeare in love,1998
False,director,saving private ryan,saving private ryan,1998
True,director,all about my mother (todo sobre mi madre),all about my mother (todo sobre mi madre),1999
False,director,the end of the affair,the end of the affair,1999
False,director,american beauty,american beauty,1999
False,director,the talented mr. ripley,the talented mr. ripley,1999
False,director,the sixth sense,the sixth sense,1999
True,director,"crouching tiger, hidden dragon (wo hu cang long)","crouching tiger, hidden dragon (wo hu cang long)",2000
False,director,billy elliot,billy elliot,2000
False,director,gladiator,gladiator,2000
False,director,traffic,traffic,2000
False,director,erin brockovich,erin brockovich,2000
True,director,the lord of the rings: the fellowship of the ring,the lord of the rings: the fellowship of the ring,2001
False,director,gosford park,gosford park,2001
False,director,a beautiful mind,a beautiful mind,2001
False,director,amélie (le fabuleux destin d'amélie poulain),amélie (le fabuleux destin d'amélie poulain),2001
False,director,moulin rouge!,moulin rouge!,2001
True,director,the pianist,the pianist,2002
False,director,the hours,the hours,2002
False,director,the lord of the rings: the two towers,the lord of the rings: the two towers,2002
False,director,chicago,chicago,2002
False,director,gangs of new york,gangs of new york,2002
True,director,master and commander: the far side of the world,master and commander: the far side of the world,2003
False,director,big fish,big fish,2003
False,director,lost in translation,lost in translation,2003
False,director,the lord of the rings: the return of the king,the lord of the rings: the return of the king,2003
False,director,cold mountain,cold mountain,2003
True,director,vera drake,vera drake,2004
False,director,finding neverland,finding neverland,2004
False,director,eternal sunshine of the spotless mind,eternal sunshine of the spotless mind,2004
False,director,collateral,collateral,2004
False,director,the aviator,the aviator,2004
True,director,brokeback mountain,brokeback mountain,2005
False,director,"good night, and good luck","good night, and good luck",2005
False,director,crash,crash,2005
False,director,the constant gardener,the constant gardener,2005
False,director,capote,capote,2005
True,director,united 93,united 93,2006
False,director,little miss sunshine,little miss sunshine,2006
False,director,the queen,the queen,2006
False,director,babel,babel,2006
False,director,the departed,the departed,2006
True,director,no country for old men,no country for old men,2007
False,director,there will be blood,there will be blood,2007
False,director,the bourne ultimatum,the bourne ultimatum,2007
False,director,the lives of others (das leben der anderen),the lives of others (das leben der anderen),2007
False,director,atonement,atonement,2007
True,director,slumdog millionaire,slumdog millionaire,2008
False,director,the reader,the reader,2008
False,director,changeling,changeling,2008
False,director,the curious case of benjamin button,the curious case of benjamin button,2008
False,director,frost/nixon,frost/nixon,2008
True,director,the hurt locker,the hurt locker,2009
False,director,district 9,district 9,2009
False,director,avatar,avatar,2009
False,director,an education,an education,2009
False,director,inglourious basterds,inglourious basterds,2009
True,director,the social network,the social network,2010
False,director,black swan,black swan,2010
False,director,127 hours,127 hours,2010
False,director,the king's speech,the king's speech,2010
False,director,inception,inception,2010
True,director,the artist,the artist,2011
False,director,tinker tailor soldier spy,tinker tailor soldier spy,2011
False,director,we need to talk about kevin,we need to talk about kevin,2011
False,director,drive,drive,2011
