Name,Team,playerid
Enrique Hernandez,LAD,10472
Ryan O'Hearn,KCR,16442
Franchy Cordero,SDP,14567
Ian Desmond,COL,6885
Elvis Andrus,TEX,8709
Josh VanMeter,CIN,15170
Jorge Alfaro,MIA,12180
Trent Grisham,SDP,18564
Nick Williams,PHI,14330
Robel Garcia,CHC,13167
Dominic Smith,NYM,15653
Greg Garcia,SDP,10951
Nick Senzel,CIN,19293
Yadier Molina,STL,7007
Niko Goodrum,DET,12092
Giovanny Urshela,NYY,10681
Tim Anderson,CWS,15172
Jurickson Profar,SDP,10815
Chad Pinder,OAK,15191
Travis d'Arnaud,ATL,7739
Manny Pina,MIL,2829
Ben Gamel,MIL,12160
Mauricio Dubon,SFG,16530
Albert Pujols,LAA,1177
Joey Wendle,TBR,13853
Tzu-Wei Lin,BOS,14678
Rougned Odor,TEX,12282
Tim Locastro,ARI,15124
Dwight Smith Jr.,BAL,13473
Patrick Wisdom,SEA,13602
Joe Panik,TOR,11936
Brad Peacock,HOU,5401
Starlin Castro,WSH,4579
David Fletcher,LAA,17992
Maikel Franco,KCR,12179
Austin Barnes,LAD,12158
Daniel Robertson,TBR,14145
Salvador Perez,KCR,7304
Brandon Crawford,SFG,5343
Ronald Guzman,TEX,14388
Daniel Descalso,CHC,8392
Adam Haseley,PHI,19878
Harold Ramirez,MIA,14387
Thairo Estrada,NYY,16426
Daniel Norris,DET,13475
Victor Caratini,CHC,14968
Alex Gordon,KCR,5209
Andrelton Simmons,LAA,10847
Roman Quinn,PHI,13546
Raimel Tapia,COL,14350
Austin Slater,SFG,16153
Harrison Bader,STL,18030
Kevin Kiermaier,TBR,11038
Austin Riley,ATL,18360
Josh Naylor,SDP,18839
Brandon Drury,TOR,11615
Billy McKinney,TOR,15654
Mallex Smith,SEA,13608
Nico Hoerner,CHC,21479
Brian O'Grady,TBR,16729
Eric Sogard,MIL,7927
Albert Almora Jr.,CHC,14109
Donovan Solano,SFG,8623
Jeimer Candelario,DET,13621
Tucker Barnhart,CIN,10200
Matt Thaiss,LAA,19318
Michael Lorenzen,CIN,14843
Jose Osuna,PIT,12937
Amed Rosario,NYM,15518
Jason Castro,LAA,8722
Anthony Santander,BAL,14551
Francisco Mejia,SDP,16403
Dee Gordon,SEA,8203
Christin Stewart,DET,17714
Jake Bauers,CLE,15194
Kevin Pillar,BOS,12434
Chance Sisco,BAL,15694
Carson Kelly,ARI,13620
Gavin Lux,LAD,19955
J.P. Crawford,SEA,15491
Byron Buxton,MIN,14161
Michael Perez,TBR,12977
Garrett Hampson,COL,19262
Caleb Ferguson,LAD,19349
Ehire Adrianza,MIN,8418
Christian Vazquez,BOS,9774
Dylan Moore,SEA,18042
Luis Rengifo,LAA,19858
Matt Wieters,STL,4298
Leury Garcia,CWS,5913
Dansby Swanson,ATL,18314
Jose Iglesias,BAL,10231
Alex Blandino,CIN,16271
Ildemaro Vargas,ARI,13324
Manuel Margot,TBR,14712
Tony Kemp,OAK,14894
Delino DeShields,CLE,11379
Jose Peraza,BOS,13593
Roberto Perez,CLE,2900
Ty France,SDP,17982
Scott Kingery,PHI,17975
James McCann,CWS,12859
Edmundo Sosa,STL,17022
Jacob Stallings,PIT,13723
Miguel Rojas,MIA,7802
Scott Heineman,TEX,14453
Abraham Toro,HOU,19844
Adalberto Mondesi,KCR,13769
Michael A. Taylor,WSH,11489
Freddy Galvis,CIN,6609
Jake Marisnick,NYM,11339
Roenis Elias,WSH,12673
Chad Sobotka,ATL,17470
Kolby Allard,TEX,18694
Yan Gomes,WSH,9627
Hector Rondon,ARI,2391
Guillermo Heredia,PIT,18721
Andrew Knapp,PHI,14942
Danny Santana,TEX,10322
Harold Castro,DET,14691
Nick Ahmed,ARI,12147
Isiah Kiner-Falefa,TEX,16512
Aramis Garcia,SFG,16925
Mike Zunino,TBR,13265
Wilmer Font,TOR,5257
Ryan Helsley,STL,18138
Luis Urias,MIL,16622
Jarrod Dyson,PIT,4866
Andrew Knizner,STL,19514
Danny Jansen,TOR,16535
Austin Romine,DET,5491
Hanser Alberto,BAL,11902
Travis Jankowski,CIN,13768
Kyle Farmer,CIN,14813
Zack Collins,CWS,19181
Tony Wolters,COL,11470
Wilmer Difo,WSH,14320
Pedro Severino,BAL,14523
Bradley Zimmer,CLE,16221
Victor Reyes,DET,15487
Kelvin Gutierrez,KCR,17468
Cam Gallagher,KCR,12981
Rio Ruiz,BAL,14103
Erik Gonzalez,PIT,13369
Adeiny Hechavarria,ATL,10459
Jason Martin,PIT,16429
Andrew Stevenson,WSH,17932
Cole Irvin,PHI,19244
Brandon Woodruff,MIL,16162
Greg Allen,CLE,16623
Derek Fisher,TOR,16192
Kevin Plawecki,BOS,13807
Orlando Arcia,MIL,13185
Josh Rojas,ARI,19734
Martin Maldonado,HOU,6887
JaCoby Jones,DET,14818
Austin Dean,STL,18288
Kyle Tucker,HOU,18345
Jordan Montgomery,NYY,16511
Dustin Garneau,HOU,9433
Steven Duggar,SFG,17719
Rangel Ravelo,STL,10839
Travis Demeritte,DET,15958
Ronny Rodriguez,MIL,11875
Sandy Leon,CLE,5273
J.T. Riddle,PIT,17642
Jose Trevino,TEX,16725
Christian Arroyo,CLE,16434
Willi Castro,DET,17338
Luis Guillorme,NYM,16451
Brett Phillips,KCR,14735
Max Stassi,LAA,10059
Dawel Lugo,DET,14713
Tony Gonsolin,LAD,19388
Steven Brault,PIT,15291
Abiatal Avelino,SFG,15496
Austin Wynns,BAL,15271
Sam Gaviglio,TOR,12778
Adrian Sanchez,WSH,11338
Cole Tucker,PIT,17326
Dom Nunez,COL,15055
Dustin Fowler,OAK,17098
Adam Engel,CWS,15082
Breyvic Valera,SDP,12758
Michael Hermosillo,LAA,16285
Austin Hedges,SDP,12976
Josh Fuentes,COL,16885
Taylor Clarke,ARI,17611
Sheldon Neuse,OAK,19635
Chad Wallach,MIA,17161
Taylor Ward,LAA,17548
Nicky Lopez,KCR,19339
Cedric Mullins II,BAL,17929
Madison Bumgarner,ARI,5524
Jared Walsh,LAA,18607
Tyler Glasnow,TBR,14374
Zack Greinke,HOU,1943
Bobby Bradley,CLE,17278
Grayson Greiner,DET,17062
Yu-Cheng Chang,CLE,14773
Garrett Stubbs,HOU,18067
Franklin Barreto,OAK,15519
Richie Martin Jr.,BAL,17736
Tyler Wade,NYY,15730
Matthew Boyd,DET,15440
Jorge Lopez,KCR,14527
David Freitas,MIL,10619
Corbin Burnes,MIL,19361
Isan Diaz,MIA,17922
Bubba Starling,KCR,13356
Donnie Walton,SEA,19314
Carlos Carrasco,CLE,6632
Magneuris Sierra,MIA,17023
Ranger Suarez,PHI,17277
Luke Maile,PIT,13355
Meibrys Viloria,KCR,17109
Adam Wainwright,STL,2233
Jonathan Davis,TOR,15104
Kyle Gibson,TEX,10123
Brent Suter,MIL,13942
Matt Strahm,SDP,13799
Brendan Rodgers,COL,17907
Kyle Higashioka,NYY,5517
Blake Snell,TBR,13543
Marco Gonzales,SEA,15467
Jeff Mathis,TEX,3448
Lewis Brinson,MIA,14352
Kyle Ryan,CHC,11753
Jacob Waguespack,TOR,18318
Austin Allen,OAK,18083
Mike Mayers,LAA,15451
Seranthony Dominguez,PHI,19249
German Marquez,COL,15038
Jaylin Davis,SFG,19552
Vince Velasquez,PHI,11189
Yonathan Daza,COL,15794
Buck Farmer,DET,14814
Jeff Brigham,MIA,16631
Hyun-Jin Ryu,TOR,14444
Brad Brach,NYM,6627
John Brebbia,STL,12777
Phil Maton,CLE,18064
Tomas Nido,NYM,13755
Chris Shaw,SFG,17738
Jake Rogers,DET,19452
Jake Noll,WSH,19703
Taijuan Walker,SEA,11836
Carlos Rodon,CWS,16137
Andrew Velazquez,BAL,14196
Noah Syndergaard,NYM,11762
Max Fried,ATL,13743
Luis Torrens,SDP,15905
Jacob deGrom,NYM,10954
Austin Gomber,STL,16561
Jack Mayfield,HOU,15402
Carter Kieboom,WSH,19958
Brad Keller,KCR,15734
Danny Duffy,KCR,3542
Javier Guerra,SDP,17292
Jake Arrieta,PHI,4153
Carlos Martinez,STL,11682
Steven Matz,NYM,13361
Max Scherzer,WSH,3137
Shane Bieber,CLE,19427
Zack Wheeler,PHI,10310
Caleb Smith,MIA,14875
Seth Lugo,NYM,12447
Anthony Alford,TOR,14329
Patrick Corbin,WSH,9323
Jefry Rodriguez,CLE,17018
Walker Lockett,NYM,13804
Joe Ross,WSH,12972
Clayton Kershaw,LAD,2036
Kevin Kramer,PIT,17689
Tyler Chatwood,CHC,4338
Homer Bailey,MIN,8362
Luke Weaver,ARI,16918
Pablo Lopez,MIA,17085
Robert Gsellman,NYM,13696
Rick Porcello,NYM,2717
Brett Anderson,MIL,8223
Taylor Williams,SEA,14899
Daniel Gossett,OAK,16164
Daniel Mengden,OAK,16980
Kyle McGowin,WSH,15071
Jesus Tinoco,COL,16300
Nick Margevicius,SEA,20395
Skye Bolt,OAK,17723
Stephen Strasburg,WSH,10131
Luke Jackson,ATL,11752
Colin Rea,CHC,12317
Wade Miley,CIN,8779
Jack Flaherty,STL,17479
Luis Perdomo,SDP,14682
Gerrit Cole,NYY,13125
Jose Berrios,MIN,14168
Joe Musgrove,PIT,12970
Julio Urias,LAD,14765
Tanner Roark,TOR,8753
Jake Fraley,SEA,19260
Jon Lester,CHC,4930
Jesse Chavez,TEX,5448
Raudy Read,WSH,15766
Bryse Wilson,ATL,19990
Logan Webb,SFG,17995
Sonny Gray,CIN,12768
J.A. Happ,NYY,7410
Miles Mikolas,STL,9803
Mike Leake,ARI,10130
Cole Hamels,ATL,4972
Kenta Maeda,MIN,18498
Eric Haase,DET,14111
Chris Sale,BOS,10603
Zach Eflin,PHI,13774
Anthony Bemboom,LAA,13854
Junior Guerra,ARI,5702
Robbie Ray,ARI,11486
Justin Verlander,HOU,8700
Walker Buehler,LAD,19374
Kean Wong,SFG,15994
Julio Teheran,LAA,6797
Adam Conley,MIA,14457
Sean Manaea,OAK,15873
Trevor Bauer,CIN,12703
Jordan Zimmermann,DET,4505
Kyle Freeland,COL,16256
Ian Kennedy,KCR,6986
Zach Davies,SDP,13183
Anthony DeSclafani,CIN,13050
Deivy Grullon,PHI,15988
Jeff Samardzija,SFG,3254
Mike Montgomery,KCR,4869
Tyler Anderson,SFG,12880
Chris Archer,PIT,6345
Trevor Williams,PIT,16977
Marcus Stroman,NYM,13431
Matt Wisler,MIN,12804
Tyler Mahle,CIN,16358
Tyler Beede,SFG,16981
David Phelps,MIL,6316
Alex Wood,LAD,13781
Joe Kelly,LAD,9761
Adolis Garcia,TEX,19287
Lucas Giolito,CWS,15474
Braden Bishop,SEA,17806
Dallas Keuchel,CWS,9434
Jon Gray,COL,14916
Dereck Rodriguez,SFG,14509
Lance Lynn,TEX,2520
Daniel Ponce de Leon,STL,16110
Adam Morgan,PHI,12580
Jeff Hoffman,COL,17432
Chris Stratton,PIT,13761
Chad Kuhl,PIT,14975
Aaron Nola,PHI,16149
David Hess,BAL,16130
Yu Darvish,CHC,13074
Matt Shoemaker,TOR,4776
Michael Wacha,NYM,14078
Mike Soroka,ATL,18383
Gio Gonzalez,CWS,7448
Corey Kluber,TEX,2429
Steve Cishek,CWS,6483
Josh Hader,MIL,14212
Rich Hill,MIN,4806
Kyle Hendricks,CHC,12049
Jon Duplantier,ARI,19546
Ross Stripling,LAD,13273
Adrian Houser,MIL,12718
Shaun Anderson,SFG,19453
Chase Anderson,TOR,6895
Johnny Cueto,SFG,6893
David Price,LAD,3184
Eric Lauer,MIL,19316
Jameson Taillon,PIT,11674
Mike Minor,TEX,10021
Chris Paddack,SDP,20099
Alec Mills,CHC,13834
Jimmy Nelson,LAD,10547
Trevor Richards,TBR,19309
Drew Pomeranz,SDP,11426
Pedro Baez,LAD,5420
Frankie Montas,OAK,14309
Luis Castillo,CIN,15689
Nathan Eovaldi,BOS,9132
Raisel Iglesias,CIN,17130
Jordan Lyles,TEX,7593
Dinelson Lamet,SDP,17186
Cal Quantrill,SDP,19312
Sandy Alcantara,MIA,18684
Jake Odorizzi,MIN,6397
John Gant,STL,13684
Dillon Peters,LAA,18790
Nick Pivetta,PHI,15454
Erick Fedde,WSH,17425
Zac Gallen,ARI,19291
Kevin Gausman,SFG,14107
Joey Lucchesi,SDP,19320
Dylan Bundy,LAA,12917
Lance McCullers Jr.,HOU,14120
Mike Fiers,OAK,7754
Jose Urena,MIA,11589
Archie Bradley,ARI,12918
Dakota Hudson,STL,19206
Austin Voth,WSH,15047
Dustin May,LAD,19716
Antonio Senzatela,COL,15488
Andrew Suarez,SFG,18300
Brad Hand,CLE,9111
Jose Quintana,CHC,11423
Alex Cobb,BAL,6562
Luis Severino,NYY,15890
Seby Zavala,CWS,18887
Jordan Yamamoto,MIA,17585
Mike Foltynewicz,ATL,10811
Lucas Sims,CIN,13470
Andrew Heaney,LAA,15423
Anibal Sanchez,WSH,3284
Freddy Peralta,MIL,18679
James Paxton,NYY,11828
Jarlin Garcia,SFG,18282
Charlie Morton,TBR,4676
Sean Newcomb,ATL,16943
Amir Garrett,CIN,14375
Alex Reyes,STL,15015
T.J. McFarland,OAK,3237
Asher Wojciechowski,BAL,10836
Felix Pena,LAA,13403
Collin McHugh,BOS,7531
Yusmeiro Petit,OAK,4020
Rafael Montero,TEX,12760
Martin Perez,BOS,6902
Reynaldo Lopez,CWS,16400
Alex Jackson,ATL,17276
Cody Reed,CIN,15232
Elieser Hernandez,MIA,16933
Touki Toussaint,ATL,16929
Robert Stephenson,CIN,13594
Merrill Kelly,ARI,11156
Chi Chi Gonzalez,COL,14663
Masahiro Tanaka,NYY,15764
Alex Young,ARI,18333
Ivan Nova,DET,1994
Drew Smyly,SFG,11760
Tommy Hunter,PHI,1157
Adam Ottavino,NYY,1247
Sean Doolittle,WSH,1581
Brett Cecil,STL,2660
Tony Watson,SFG,3132
Will Harris,WSH,3192
Zack Britton,NYY,3240
Joe Smith,HOU,3281
Darren O'Day,ATL,3321
Matt Magill,SEA,3950
Pedro Strop,CIN,4070
Mark Melancon,ATL,4264
Justin Wilson,NYM,4301
Jake Diekman,OAK,5003
Jeurys Familia,NYM,5114
Jose Alvarez,PHI,5358
Ryan Brasier,BOS,5615
Tyler Clippard,MIN,5640
Kelvin Herrera,CWS,6033
Dellin Betances,NYM,6216
Trevor May,MIN,6398
Jose Cisnero,DET,6399
Robert Stock,PHI,6576
Craig Kimbrel,CHC,6655
Alex Colome,CWS,6661
Andrew Miller,STL,6785
Joakim Soria,OAK,6941
Ryan Pressly,HOU,7005
Daniel Hudson,WSH,7146
Wade Davis,COL,7441
Jake McGee,COL,7550
Richard Bleier,BAL,7803
Josh Lindblom,MIL,7882
Anthony Bass,TOR,7982
Marcus Walden,BOS,8004
Bryan Shaw,COL,8110
David Robertson,PHI,8241
Deolis Guerra,PHI,8410
Kirby Yates,SDP,9073
Jeremy Jeffress,CHC,9490
Garrett Richards,SDP,9784
Sergio Romo,MIN,9817
Chaz Roe,TBR,9866
Brandon Kintzler,MIA,9939
Ryan Weber,BOS,10160
Aroldis Chapman,NYY,10233
Ryan Tepera,CHC,10291
Mychal Givens,BAL,10430
Scott Alexander,LAD,10591
Shane Greene,ATL,10756
Adam Kolarek,LAD,10843
Grant Dayton,ATL,11203
Casey Sadler,CHC,11209
Aaron Barrett,WSH,11243
Tommy Kahnle,NYY,11384
Brandon Workman,BOS,11428
Joely Rodriguez,TEX,11487
Josh Osich,BOS,11528
Dovydas Neverauskas,PIT,11604
Heath Hembree,BOS,11632
Hansel Robles,LAA,11801
Hector Neris,PHI,11804
Chris Martin,ATL,11847
Enderson Franco,SFG,11896
Michael Feliz,PIT,11903
Taylor Cole,LAA,11964
Matt Andriese,LAA,12022
Yimi Garcia,MIA,12095
Dan Winkler,CHC,12237
Evan Marshall,CWS,12297
Chris Bassitt,OAK,12304
Blake Treinen,LAD,12572
Ryne Harper,WSH,12680
Chris Devenski,HOU,12763
Jairo Diaz,COL,12774
Burch Smith,OAK,12784
Noe Ramirez,LAA,12800
Mike Clevinger,CLE,12808
Andrew Kittredge,TBR,12828
Shawn Armstrong,BAL,12857
Matt Barnes,BOS,12863
Alex Claudio,MIL,12890
Ken Giles,TOR,12910
Andrew Chafin,ARI,12988
Colten Brewer,BOS,12997
Eduardo Rodriguez,BOS,13164
Kyle Crick,PIT,13182
Joe Biagini,HOU,13194
Michael Fulmer,DET,13218
Jesse Hahn,KCR,13287
James Pazos,COL,13323
Luis Cessa,NYY,13345
Cam Bedrosian,LAA,13360
Dylan Floro,LAD,13394
Sam Selman,SFG,13397
Pierce Johnson,SDP,13435
Taylor Rogers,MIN,13449
Sam Tuivailala,SEA,13485
Brandon Brennan,SEA,13527
Matt Bowman,CIN,13528
Richard Rodriguez,PIT,13549
Carl Edwards Jr.,SEA,13607
Jakob Junis,KCR,13619
Josh D. Smith,CIN,13629
Clay Holmes,PIT,13649
Jharel Cotton,CHC,13654
Corey Oswalt,NYM,13677
Nick Goody,TEX,13685
Tyler Duffey,MIN,13758
Roberto Osuna,HOU,13764
Austin Adams,SEA,13801
Paul Sewald,NYM,13892
Scott Oberg,COL,13911
Chris Mazza,BOS,14151
Kyle Zimmer,KCR,14169
Ray Black,MIL,14244
Luke Bard,LAA,14288
Wandy Peralta,SFG,14295
Joel Payamps,ARI,14332
Yohander Mendez,TEX,14391
J.B. Wendelken,OAK,14506
Jose Leclerc,TEX,14524
Carlos Estevez,COL,14542
Jose Ruiz,CWS,14552
James Hoyt,CLE,14605
Rowan Wick,CHC,14646
Jandel Gustave,SFG,14665
Dillon Maples,CHC,14672
Duane Underwood Jr.,CHC,14677
Keone Kela,PIT,14696
Anthony Banda,TBR,14706
Edwin Diaz,NYM,14710
Ty Buttrey,LAA,14719
Paul Blackburn,OAK,14739
Emilio Pagan,SDP,14771
Bobby Wahl,MIL,14832
Reyes Moronta,SFG,14966
Tyler Webb,STL,14974
Giovanny Gallegos,STL,14986
Scott Barlow,KCR,14993
Yacksel Rios,PIT,15007
Corey Knebel,MIL,15010
Lou Trivino,OAK,15043
Trevor Gott,SFG,15046
Silvino Bracho,ARI,15051
Yency Almonte,COL,15068
Hunter Wood,CLE,15091
Ben Heller,NYY,15100
Luke Farrell,TEX,15101
Jake Newberry,KCR,15136
Glenn Sparkman,KCR,15200
Tyler Bashlor,NYM,15203
Kevin McCarthy,KCR,15240
Cole Sulser,BAL,15256
Keynan Middleton,LAA,15264
Jacob Rhame,NYM,15267
Adam Cimber,CLE,15288
Austin Pruitt,HOU,15290
Jose De Leon,CIN,15463
Justin Williams,STL,15490
Stephen Gonsalves,NYM,15492
Kohl Stewart,BAL,15502
Hunter Harvey,BAL,15507
Kendall Graveman,SEA,15514
Eric Yardley,MIL,15538
Tyler Rogers,SFG,15541
Chad Green,NYY,15552
Nick Wittgren,CLE,15594
Phillips Valdez,BOS,15605
Miguel Castro,BAL,15684
Jimmy Cordero,CWS,15690
Joe Jimenez,DET,15761
Devin Williams,MIL,15816
Zack Littell,MIN,15823
Paul Fry,BAL,15832
Adam Plutko,CLE,15846
Wander Suero,WSH,15855
Stephen Tarpley,MIA,15859
Lewis Thorpe,MIN,15906
Victor Arano,PHI,15915
Ryne Stanek,MIA,15947
Stefan Crichton,ARI,16058
Nick Burdi,PIT,16074
Cy Sneed,HOU,16106
Jordan Romano,TOR,16122
Justin Shafer,CIN,16132
Eric Skoglund,KCR,16155
Jace Fry,CWS,16159
Justin Anderson,LAA,16201
Spencer Turnbull,DET,16207
Aaron Bummer,CWS,16258
Sam Howard,PIT,16265
Gerardo Reyes,SDP,16306
Austen Williams,WSH,16309
Ryan Borucki,TOR,16350
Brad Wieck,CHC,16390
Yonny Chirinos,TBR,16401
James Norwood,CHC,16440
